WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);;NUMERIEKEWAARDE
19-2-2022;15:50:00;19-2-2022 15:50;134
19-2-2022;16:00:00;19-2-2022 16:00;151
19-2-2022;16:10:00;19-2-2022 16:10;163
19-2-2022;16:20:00;19-2-2022 16:20;171
19-2-2022;16:30:00;19-2-2022 16:30;174
19-2-2022;16:40:00;19-2-2022 16:40;175
19-2-2022;16:50:00;19-2-2022 16:50;171
19-2-2022;17:00:00;19-2-2022 17:00;163
19-2-2022;17:10:00;19-2-2022 17:10;155
19-2-2022;17:20:00;19-2-2022 17:20;152
19-2-2022;17:30:00;19-2-2022 17:30;146
19-2-2022;17:40:00;19-2-2022 17:40;144
19-2-2022;17:50:00;19-2-2022 17:50;142
19-2-2022;18:00:00;19-2-2022 18:00;141
19-2-2022;18:10:00;19-2-2022 18:10;142
19-2-2022;18:20:00;19-2-2022 18:20;139
19-2-2022;18:30:00;19-2-2022 18:30;135
19-2-2022;18:40:00;19-2-2022 18:40;129
19-2-2022;18:50:00;19-2-2022 18:50;122
19-2-2022;19:00:00;19-2-2022 19:00;112
19-2-2022;19:10:00;19-2-2022 19:10;100
19-2-2022;19:20:00;19-2-2022 19:20;86
19-2-2022;19:30:00;19-2-2022 19:30;74
19-2-2022;19:40:00;19-2-2022 19:40;63
19-2-2022;19:50:00;19-2-2022 19:50;54
19-2-2022;20:00:00;19-2-2022 20:00;43
19-2-2022;20:10:00;19-2-2022 20:10;36
19-2-2022;20:20:00;19-2-2022 20:20;28
19-2-2022;20:30:00;19-2-2022 20:30;26
19-2-2022;20:40:00;19-2-2022 20:40;21
19-2-2022;20:50:00;19-2-2022 20:50;18
19-2-2022;21:00:00;19-2-2022 21:00;14
19-2-2022;21:10:00;19-2-2022 21:10;12
19-2-2022;21:20:00;19-2-2022 21:20;13
19-2-2022;21:30:00;19-2-2022 21:30;15
19-2-2022;21:40:00;19-2-2022 21:40;20
19-2-2022;21:50:00;19-2-2022 21:50;25
19-2-2022;22:00:00;19-2-2022 22:00;34
19-2-2022;22:10:00;19-2-2022 22:10;36
19-2-2022;22:20:00;19-2-2022 22:20;42
19-2-2022;22:30:00;19-2-2022 22:30;45
19-2-2022;22:40:00;19-2-2022 22:40;45
19-2-2022;22:50:00;19-2-2022 22:50;47
19-2-2022;23:00:00;19-2-2022 23:00;45
19-2-2022;23:10:00;19-2-2022 23:10;42
19-2-2022;23:20:00;19-2-2022 23:20;38
19-2-2022;23:30:00;19-2-2022 23:30;31
19-2-2022;23:40:00;19-2-2022 23:40;26
19-2-2022;23:50:00;19-2-2022 23:50;18
20-2-2022;00:00:00;20-2-2022 00:00;13
20-2-2022;00:10:00;20-2-2022 00:10;5
20-2-2022;00:20:00;20-2-2022 00:20;-3
20-2-2022;00:30:00;20-2-2022 00:30;-9
20-2-2022;00:40:00;20-2-2022 00:40;-15
20-2-2022;00:50:00;20-2-2022 00:50;-20
20-2-2022;01:00:00;20-2-2022 01:00;-23
20-2-2022;01:10:00;20-2-2022 01:10;-26
20-2-2022;01:20:00;20-2-2022 01:20;-27
20-2-2022;01:30:00;20-2-2022 01:30;-26
20-2-2022;01:40:00;20-2-2022 01:40;-23
20-2-2022;01:50:00;20-2-2022 01:50;-21
20-2-2022;02:00:00;20-2-2022 02:00;-19
20-2-2022;02:10:00;20-2-2022 02:10;-15
20-2-2022;02:20:00;20-2-2022 02:20;-10
20-2-2022;02:30:00;20-2-2022 02:30;-6
20-2-2022;02:40:00;20-2-2022 02:40;0
20-2-2022;02:50:00;20-2-2022 02:50;5
20-2-2022;03:00:00;20-2-2022 03:00;13
20-2-2022;03:10:00;20-2-2022 03:10;22
20-2-2022;03:20:00;20-2-2022 03:20;32
20-2-2022;03:30:00;20-2-2022 03:30;45
20-2-2022;03:40:00;20-2-2022 03:40;57
20-2-2022;03:50:00;20-2-2022 03:50;71
20-2-2022;04:00:00;20-2-2022 04:00;85
20-2-2022;04:10:00;20-2-2022 04:10;100
20-2-2022;04:20:00;20-2-2022 04:20;112
20-2-2022;04:30:00;20-2-2022 04:30;124
20-2-2022;04:40:00;20-2-2022 04:40;131
20-2-2022;04:50:00;20-2-2022 04:50;136
20-2-2022;05:00:00;20-2-2022 05:00;138
20-2-2022;05:10:00;20-2-2022 05:10;137
20-2-2022;05:20:00;20-2-2022 05:20;133
20-2-2022;05:30:00;20-2-2022 05:30;127
20-2-2022;05:40:00;20-2-2022 05:40;123
20-2-2022;05:50:00;20-2-2022 05:50;118
20-2-2022;06:00:00;20-2-2022 06:00;114
20-2-2022;06:10:00;20-2-2022 06:10;110
20-2-2022;06:20:00;20-2-2022 06:20;106
20-2-2022;06:30:00;20-2-2022 06:30;101
20-2-2022;06:40:00;20-2-2022 06:40;97
20-2-2022;06:50:00;20-2-2022 06:50;91
20-2-2022;07:00:00;20-2-2022 07:00;83
20-2-2022;07:10:00;20-2-2022 07:10;75
20-2-2022;07:20:00;20-2-2022 07:20;67
20-2-2022;07:30:00;20-2-2022 07:30;56
20-2-2022;07:40:00;20-2-2022 07:40;47
20-2-2022;07:50:00;20-2-2022 07:50;35
20-2-2022;08:00:00;20-2-2022 08:00;24
20-2-2022;08:10:00;20-2-2022 08:10;12
20-2-2022;08:20:00;20-2-2022 08:20;1
20-2-2022;08:30:00;20-2-2022 08:30;-11
20-2-2022;08:40:00;20-2-2022 08:40;-23
20-2-2022;08:50:00;20-2-2022 08:50;-32
20-2-2022;09:00:00;20-2-2022 09:00;-43
20-2-2022;09:10:00;20-2-2022 09:10;-52
20-2-2022;09:20:00;20-2-2022 09:20;-60
20-2-2022;09:30:00;20-2-2022 09:30;-65
20-2-2022;09:40:00;20-2-2022 09:40;-70
20-2-2022;09:50:00;20-2-2022 09:50;-76
20-2-2022;10:00:00;20-2-2022 10:00;-77
20-2-2022;10:10:00;20-2-2022 10:10;-79
20-2-2022;10:20:00;20-2-2022 10:20;-80
20-2-2022;10:30:00;20-2-2022 10:30;-79
20-2-2022;10:40:00;20-2-2022 10:40;-76
20-2-2022;10:50:00;20-2-2022 10:50;-74
20-2-2022;11:00:00;20-2-2022 11:00;-69
20-2-2022;11:10:00;20-2-2022 11:10;-66
20-2-2022;11:20:00;20-2-2022 11:20;-62
20-2-2022;11:30:00;20-2-2022 11:30;-60
20-2-2022;11:40:00;20-2-2022 11:40;-59
20-2-2022;11:50:00;20-2-2022 11:50;-61
20-2-2022;12:00:00;20-2-2022 12:00;-63
20-2-2022;12:10:00;20-2-2022 12:10;-65
20-2-2022;12:20:00;20-2-2022 12:20;-69
20-2-2022;12:30:00;20-2-2022 12:30;-72
20-2-2022;12:40:00;20-2-2022 12:40;-76
20-2-2022;12:50:00;20-2-2022 12:50;-79
20-2-2022;13:00:00;20-2-2022 13:00;-81
20-2-2022;13:10:00;20-2-2022 13:10;-83
20-2-2022;13:20:00;20-2-2022 13:20;-85
20-2-2022;13:30:00;20-2-2022 13:30;-88
20-2-2022;13:40:00;20-2-2022 13:40;-89
20-2-2022;13:50:00;20-2-2022 13:50;-89
20-2-2022;14:00:00;20-2-2022 14:00;-89
20-2-2022;14:10:00;20-2-2022 14:10;-86
20-2-2022;14:20:00;20-2-2022 14:20;-83
20-2-2022;14:30:00;20-2-2022 14:30;-77
20-2-2022;14:40:00;20-2-2022 14:40;-69
20-2-2022;14:50:00;20-2-2022 14:50;-58
20-2-2022;15:00:00;20-2-2022 15:00;-45
20-2-2022;15:10:00;20-2-2022 15:10;-29
20-2-2022;15:20:00;20-2-2022 15:20;-10
20-2-2022;15:30:00;20-2-2022 15:30;8
20-2-2022;15:40:00;20-2-2022 15:40;31
20-2-2022;15:50:00;20-2-2022 15:50;53
20-2-2022;16:00:00;20-2-2022 16:00;73
20-2-2022;16:10:00;20-2-2022 16:10;92
20-2-2022;16:20:00;20-2-2022 16:20;107
20-2-2022;16:30:00;20-2-2022 16:30;121
20-2-2022;16:40:00;20-2-2022 16:40;127
20-2-2022;16:50:00;20-2-2022 16:50;132
20-2-2022;17:00:00;20-2-2022 17:00;134
20-2-2022;17:10:00;20-2-2022 17:10;131
20-2-2022;17:20:00;20-2-2022 17:20;128
20-2-2022;17:30:00;20-2-2022 17:30;122
20-2-2022;17:40:00;20-2-2022 17:40;118
20-2-2022;17:50:00;20-2-2022 17:50;114
20-2-2022;18:00:00;20-2-2022 18:00;112
20-2-2022;18:10:00;20-2-2022 18:10;107
20-2-2022;18:20:00;20-2-2022 18:20;105
20-2-2022;18:30:00;20-2-2022 18:30;103
20-2-2022;18:40:00;20-2-2022 18:40;99
20-2-2022;18:50:00;20-2-2022 18:50;93
20-2-2022;19:00:00;20-2-2022 19:00;86
20-2-2022;19:10:00;20-2-2022 19:10;80
20-2-2022;19:20:00;20-2-2022 19:20;73
20-2-2022;19:30:00;20-2-2022 19:30;67
20-2-2022;19:40:00;20-2-2022 19:40;59
20-2-2022;19:50:00;20-2-2022 19:50;52
20-2-2022;20:00:00;20-2-2022 20:00;44
20-2-2022;20:10:00;20-2-2022 20:10;39
20-2-2022;20:20:00;20-2-2022 20:20;34
20-2-2022;20:30:00;20-2-2022 20:30;29
20-2-2022;20:40:00;20-2-2022 20:40;24
20-2-2022;20:50:00;20-2-2022 20:50;19
20-2-2022;21:00:00;20-2-2022 21:00;16
20-2-2022;21:10:00;20-2-2022 21:10;13
20-2-2022;21:20:00;20-2-2022 21:20;10
20-2-2022;21:30:00;20-2-2022 21:30;14
20-2-2022;21:40:00;20-2-2022 21:40;24
20-2-2022;21:50:00;20-2-2022 21:50;44
20-2-2022;22:00:00;20-2-2022 22:00;50
20-2-2022;22:10:00;20-2-2022 22:10;54
20-2-2022;22:20:00;20-2-2022 22:20;58
20-2-2022;22:30:00;20-2-2022 22:30;63
20-2-2022;22:40:00;20-2-2022 22:40;63
20-2-2022;22:50:00;20-2-2022 22:50;50
20-2-2022;23:00:00;20-2-2022 23:00;36
20-2-2022;23:10:00;20-2-2022 23:10;31
20-2-2022;23:20:00;20-2-2022 23:20;30
20-2-2022;23:30:00;20-2-2022 23:30;24
20-2-2022;23:40:00;20-2-2022 23:40;18
20-2-2022;23:50:00;20-2-2022 23:50;26
21-2-2022;00:00:00;21-2-2022 00:00;26
21-2-2022;00:10:00;21-2-2022 00:10;30
21-2-2022;00:20:00;21-2-2022 00:20;32
21-2-2022;00:30:00;21-2-2022 00:30;28
21-2-2022;00:40:00;21-2-2022 00:40;31
21-2-2022;00:50:00;21-2-2022 00:50;34
21-2-2022;01:00:00;21-2-2022 01:00;35
21-2-2022;01:10:00;21-2-2022 01:10;38
21-2-2022;01:20:00;21-2-2022 01:20;42
21-2-2022;01:30:00;21-2-2022 01:30;42
21-2-2022;01:40:00;21-2-2022 01:40;46
21-2-2022;01:50:00;21-2-2022 01:50;50
21-2-2022;02:00:00;21-2-2022 02:00;50
21-2-2022;02:10:00;21-2-2022 02:10;55
21-2-2022;02:20:00;21-2-2022 02:20;62
21-2-2022;02:30:00;21-2-2022 02:30;70
21-2-2022;02:40:00;21-2-2022 02:40;79
21-2-2022;02:50:00;21-2-2022 02:50;90
21-2-2022;03:00:00;21-2-2022 03:00;102
21-2-2022;03:10:00;21-2-2022 03:10;118
21-2-2022;03:20:00;21-2-2022 03:20;132
21-2-2022;03:30:00;21-2-2022 03:30;144
21-2-2022;03:40:00;21-2-2022 03:40;159
21-2-2022;03:50:00;21-2-2022 03:50;173
21-2-2022;04:00:00;21-2-2022 04:00;188
21-2-2022;04:10:00;21-2-2022 04:10;205
21-2-2022;04:20:00;21-2-2022 04:20;220
21-2-2022;04:30:00;21-2-2022 04:30;236
21-2-2022;04:40:00;21-2-2022 04:40;248
21-2-2022;04:50:00;21-2-2022 04:50;258
21-2-2022;05:00:00;21-2-2022 05:00;263
21-2-2022;05:10:00;21-2-2022 05:10;267
21-2-2022;05:20:00;21-2-2022 05:20;263
21-2-2022;05:30:00;21-2-2022 05:30;257
21-2-2022;05:40:00;21-2-2022 05:40;252
21-2-2022;05:50:00;21-2-2022 05:50;247
21-2-2022;06:00:00;21-2-2022 06:00;240
21-2-2022;06:10:00;21-2-2022 06:10;234
21-2-2022;06:20:00;21-2-2022 06:20;230
21-2-2022;06:30:00;21-2-2022 06:30;227
21-2-2022;06:40:00;21-2-2022 06:40;225
21-2-2022;06:50:00;21-2-2022 06:50;219
21-2-2022;07:00:00;21-2-2022 07:00;211
21-2-2022;07:10:00;21-2-2022 07:10;204
21-2-2022;07:20:00;21-2-2022 07:20;194
21-2-2022;07:30:00;21-2-2022 07:30;185
21-2-2022;07:40:00;21-2-2022 07:40;173
21-2-2022;07:50:00;21-2-2022 07:50;161
21-2-2022;08:00:00;21-2-2022 08:00;152
21-2-2022;08:10:00;21-2-2022 08:10;144
21-2-2022;08:20:00;21-2-2022 08:20;134
21-2-2022;08:30:00;21-2-2022 08:30;128
21-2-2022;08:40:00;21-2-2022 08:40;122
21-2-2022;08:50:00;21-2-2022 08:50;115
21-2-2022;09:00:00;21-2-2022 09:00;107
21-2-2022;09:10:00;21-2-2022 09:10;98
21-2-2022;09:20:00;21-2-2022 09:20;87
21-2-2022;09:30:00;21-2-2022 09:30;79
21-2-2022;09:40:00;21-2-2022 09:40;72
21-2-2022;09:50:00;21-2-2022 09:50;66
21-2-2022;10:00:00;21-2-2022 10:00;63
21-2-2022;10:10:00;21-2-2022 10:10;60
21-2-2022;10:20:00;21-2-2022 10:20;60
21-2-2022;10:30:00;21-2-2022 10:30;60
21-2-2022;10:40:00;21-2-2022 10:40;57
21-2-2022;10:50:00;21-2-2022 10:50;54
21-2-2022;11:00:00;21-2-2022 11:00;52
21-2-2022;11:10:00;21-2-2022 11:10;50
21-2-2022;11:20:00;21-2-2022 11:20;48
21-2-2022;11:30:00;21-2-2022 11:30;46
21-2-2022;11:40:00;21-2-2022 11:40;45
21-2-2022;11:50:00;21-2-2022 11:50;46
21-2-2022;12:00:00;21-2-2022 12:00;50
21-2-2022;12:10:00;21-2-2022 12:10;54
21-2-2022;12:20:00;21-2-2022 12:20;57
21-2-2022;12:30:00;21-2-2022 12:30;55
21-2-2022;12:40:00;21-2-2022 12:40;53
21-2-2022;12:50:00;21-2-2022 12:50;51
21-2-2022;13:00:00;21-2-2022 13:00;46
21-2-2022;13:10:00;21-2-2022 13:10;41
21-2-2022;13:20:00;21-2-2022 13:20;38
21-2-2022;13:30:00;21-2-2022 13:30;38
21-2-2022;13:40:00;21-2-2022 13:40;42
21-2-2022;13:50:00;21-2-2022 13:50;44
21-2-2022;14:00:00;21-2-2022 14:00;46
21-2-2022;14:10:00;21-2-2022 14:10;50
21-2-2022;14:20:00;21-2-2022 14:20;50
21-2-2022;14:30:00;21-2-2022 14:30;49
21-2-2022;14:40:00;21-2-2022 14:40;50
21-2-2022;14:50:00;21-2-2022 14:50;52
21-2-2022;15:00:00;21-2-2022 15:00;54
21-2-2022;15:10:00;21-2-2022 15:10;58
21-2-2022;15:20:00;21-2-2022 15:20;65
21-2-2022;15:30:00;21-2-2022 15:30;73
21-2-2022;15:40:00;21-2-2022 15:40;85
21-2-2022;15:50:00;21-2-2022 15:50;97
21-2-2022;16:00:00;21-2-2022 16:00;106
21-2-2022;16:10:00;21-2-2022 16:10;118
21-2-2022;16:20:00;21-2-2022 16:20;132
21-2-2022;16:30:00;21-2-2022 16:30;146
21-2-2022;16:40:00;21-2-2022 16:40;160
21-2-2022;16:50:00;21-2-2022 16:50;177
21-2-2022;17:00:00;21-2-2022 17:00;194
21-2-2022;17:10:00;21-2-2022 17:10;210
21-2-2022;17:20:00;21-2-2022 17:20;225
21-2-2022;17:30:00;21-2-2022 17:30;234
21-2-2022;17:40:00;21-2-2022 17:40;240
21-2-2022;17:50:00;21-2-2022 17:50;243
21-2-2022;18:00:00;21-2-2022 18:00;241
21-2-2022;18:10:00;21-2-2022 18:10;238
21-2-2022;18:20:00;21-2-2022 18:20;235
21-2-2022;18:30:00;21-2-2022 18:30;229
21-2-2022;18:40:00;21-2-2022 18:40;225
21-2-2022;18:50:00;21-2-2022 18:50;224
21-2-2022;19:00:00;21-2-2022 19:00;220
21-2-2022;19:10:00;21-2-2022 19:10;217
21-2-2022;19:20:00;21-2-2022 19:20;215
21-2-2022;19:30:00;21-2-2022 19:30;212
21-2-2022;19:40:00;21-2-2022 19:40;209
21-2-2022;19:50:00;21-2-2022 19:50;202
21-2-2022;20:00:00;21-2-2022 20:00;194
21-2-2022;20:10:00;21-2-2022 20:10;187
21-2-2022;20:20:00;21-2-2022 20:20;178
21-2-2022;20:30:00;21-2-2022 20:30;168
21-2-2022;20:40:00;21-2-2022 20:40;154
21-2-2022;20:50:00;21-2-2022 20:50;142
21-2-2022;21:00:00;21-2-2022 21:00;130
21-2-2022;21:10:00;21-2-2022 21:10;118
21-2-2022;21:20:00;21-2-2022 21:20;105
21-2-2022;21:30:00;21-2-2022 21:30;94
21-2-2022;21:40:00;21-2-2022 21:40;82
21-2-2022;21:50:00;21-2-2022 21:50;74
21-2-2022;22:00:00;21-2-2022 22:00;66
21-2-2022;22:10:00;21-2-2022 22:10;58
21-2-2022;22:20:00;21-2-2022 22:20;50
21-2-2022;22:30:00;21-2-2022 22:30;43
21-2-2022;22:40:00;21-2-2022 22:40;38
21-2-2022;22:50:00;21-2-2022 22:50;32
21-2-2022;23:00:00;21-2-2022 23:00;28
21-2-2022;23:10:00;21-2-2022 23:10;25
21-2-2022;23:20:00;21-2-2022 23:20;25
21-2-2022;23:30:00;21-2-2022 23:30;23
21-2-2022;23:40:00;21-2-2022 23:40;20
21-2-2022;23:50:00;21-2-2022 23:50;21
22-2-2022;00:00:00;22-2-2022 00:00;20
22-2-2022;00:10:00;22-2-2022 00:10;20
22-2-2022;00:20:00;22-2-2022 00:20;21
22-2-2022;00:30:00;22-2-2022 00:30;20
22-2-2022;00:40:00;22-2-2022 00:40;20
22-2-2022;00:50:00;22-2-2022 00:50;18
22-2-2022;01:00:00;22-2-2022 01:00;17
22-2-2022;01:10:00;22-2-2022 01:10;14
22-2-2022;01:20:00;22-2-2022 01:20;12
22-2-2022;01:30:00;22-2-2022 01:30;11
22-2-2022;01:40:00;22-2-2022 01:40;9
22-2-2022;01:50:00;22-2-2022 01:50;10
22-2-2022;02:00:00;22-2-2022 02:00;8
22-2-2022;02:10:00;22-2-2022 02:10;7
22-2-2022;02:20:00;22-2-2022 02:20;9
22-2-2022;02:30:00;22-2-2022 02:30;9
22-2-2022;02:40:00;22-2-2022 02:40;12
22-2-2022;02:50:00;22-2-2022 02:50;13
22-2-2022;03:00:00;22-2-2022 03:00;14
22-2-2022;03:10:00;22-2-2022 03:10;14
22-2-2022;03:20:00;22-2-2022 03:20;16
22-2-2022;03:30:00;22-2-2022 03:30;18
22-2-2022;03:40:00;22-2-2022 03:40;18
22-2-2022;03:50:00;22-2-2022 03:50;22
22-2-2022;04:00:00;22-2-2022 04:00;25
22-2-2022;04:10:00;22-2-2022 04:10;28
22-2-2022;04:20:00;22-2-2022 04:20;33
22-2-2022;04:30:00;22-2-2022 04:30;37
22-2-2022;04:40:00;22-2-2022 04:40;44
22-2-2022;04:50:00;22-2-2022 04:50;51
22-2-2022;05:00:00;22-2-2022 05:00;59
22-2-2022;05:10:00;22-2-2022 05:10;70
22-2-2022;05:20:00;22-2-2022 05:20;85
22-2-2022;05:30:00;22-2-2022 05:30;97
22-2-2022;05:40:00;22-2-2022 05:40;111
22-2-2022;05:50:00;22-2-2022 05:50;125
22-2-2022;06:00:00;22-2-2022 06:00;134
22-2-2022;06:10:00;22-2-2022 06:10;140
22-2-2022;06:20:00;22-2-2022 06:20;143
22-2-2022;06:30:00;22-2-2022 06:30;140
22-2-2022;06:40:00;22-2-2022 06:40;136
22-2-2022;06:50:00;22-2-2022 06:50;132
22-2-2022;07:00:00;22-2-2022 07:00;124
22-2-2022;07:10:00;22-2-2022 07:10;120
22-2-2022;07:20:00;22-2-2022 07:20;116
22-2-2022;07:30:00;22-2-2022 07:30;111
22-2-2022;07:40:00;22-2-2022 07:40;107
22-2-2022;07:50:00;22-2-2022 07:50;101
22-2-2022;08:00:00;22-2-2022 08:00;93
22-2-2022;08:10:00;22-2-2022 08:10;85
22-2-2022;08:20:00;22-2-2022 08:20;74
22-2-2022;08:30:00;22-2-2022 08:30;63
22-2-2022;08:40:00;22-2-2022 08:40;52
22-2-2022;08:50:00;22-2-2022 08:50;41
22-2-2022;09:00:00;22-2-2022 09:00;29
22-2-2022;09:10:00;22-2-2022 09:10;19
22-2-2022;09:20:00;22-2-2022 09:20;7
22-2-2022;09:30:00;22-2-2022 09:30;-4
22-2-2022;09:40:00;22-2-2022 09:40;-16
22-2-2022;09:50:00;22-2-2022 09:50;-29
22-2-2022;10:00:00;22-2-2022 10:00;-41
22-2-2022;10:10:00;22-2-2022 10:10;-52
22-2-2022;10:20:00;22-2-2022 10:20;-64
22-2-2022;10:30:00;22-2-2022 10:30;-76
22-2-2022;10:40:00;22-2-2022 10:40;-84
22-2-2022;10:50:00;22-2-2022 10:50;-91
22-2-2022;11:00:00;22-2-2022 11:00;-98
22-2-2022;11:10:00;22-2-2022 11:10;-102
22-2-2022;11:20:00;22-2-2022 11:20;-105
22-2-2022;11:30:00;22-2-2022 11:30;-107
22-2-2022;11:40:00;22-2-2022 11:40;-106
22-2-2022;11:50:00;22-2-2022 11:50;-105
22-2-2022;12:00:00;22-2-2022 12:00;-103
22-2-2022;12:10:00;22-2-2022 12:10;-103
22-2-2022;12:20:00;22-2-2022 12:20;-102
22-2-2022;12:30:00;22-2-2022 12:30;-100
22-2-2022;12:40:00;22-2-2022 12:40;-100
22-2-2022;12:50:00;22-2-2022 12:50;-96
22-2-2022;13:00:00;22-2-2022 13:00;-95
22-2-2022;13:10:00;22-2-2022 13:10;-95
22-2-2022;13:20:00;22-2-2022 13:20;-94
22-2-2022;13:30:00;22-2-2022 13:30;-94
22-2-2022;13:40:00;22-2-2022 13:40;-97
22-2-2022;13:50:00;22-2-2022 13:50;-99
22-2-2022;14:00:00;22-2-2022 14:00;-102
22-2-2022;14:10:00;22-2-2022 14:10;-106
22-2-2022;14:20:00;22-2-2022 14:20;-109
22-2-2022;14:30:00;22-2-2022 14:30;-113
22-2-2022;14:40:00;22-2-2022 14:40;-116
22-2-2022;14:50:00;22-2-2022 14:50;-116
22-2-2022;15:00:00;22-2-2022 15:00;-116
22-2-2022;15:10:00;22-2-2022 15:10;-115
22-2-2022;15:20:00;22-2-2022 15:20;-108
22-2-2022;15:30:00;22-2-2022 15:30;-106
22-2-2022;15:40:00;22-2-2022 15:40;-102
22-2-2022;15:50:00;22-2-2022 15:50;-98
22-2-2022;16:00:00;22-2-2022 16:00;-92
22-2-2022;16:10:00;22-2-2022 16:10;-85
22-2-2022;16:20:00;22-2-2022 16:20;-76
22-2-2022;16:30:00;22-2-2022 16:30;-66
22-2-2022;16:40:00;22-2-2022 16:40;-55
22-2-2022;16:50:00;22-2-2022 16:50;-36
22-2-2022;17:00:00;22-2-2022 17:00;-14
22-2-2022;17:10:00;22-2-2022 17:10;8
22-2-2022;17:20:00;22-2-2022 17:20;34
22-2-2022;17:30:00;22-2-2022 17:30;61
22-2-2022;17:40:00;22-2-2022 17:40;85
22-2-2022;17:50:00;22-2-2022 17:50;104
22-2-2022;18:00:00;22-2-2022 18:00;121
22-2-2022;18:10:00;22-2-2022 18:10;131
22-2-2022;18:20:00;22-2-2022 18:20;135
22-2-2022;18:30:00;22-2-2022 18:30;135
22-2-2022;18:40:00;22-2-2022 18:40;132
22-2-2022;18:50:00;22-2-2022 18:50;126
22-2-2022;19:00:00;22-2-2022 19:00;117
22-2-2022;19:10:00;22-2-2022 19:10;109
22-2-2022;19:20:00;22-2-2022 19:20;103
22-2-2022;19:30:00;22-2-2022 19:30;98
22-2-2022;19:40:00;22-2-2022 19:40;94
22-2-2022;19:50:00;22-2-2022 19:50;90
22-2-2022;20:00:00;22-2-2022 20:00;90
22-2-2022;20:10:00;22-2-2022 20:10;88
22-2-2022;20:20:00;22-2-2022 20:20;84
22-2-2022;20:30:00;22-2-2022 20:30;81
22-2-2022;20:40:00;22-2-2022 20:40;76
22-2-2022;20:50:00;22-2-2022 20:50;71
22-2-2022;21:00:00;22-2-2022 21:00;66
22-2-2022;21:10:00;22-2-2022 21:10;62
22-2-2022;21:20:00;22-2-2022 21:20;57
22-2-2022;21:30:00;22-2-2022 21:30;53
22-2-2022;21:40:00;22-2-2022 21:40;49
22-2-2022;21:50:00;22-2-2022 21:50;45
22-2-2022;22:00:00;22-2-2022 22:00;42
22-2-2022;22:10:00;22-2-2022 22:10;40
22-2-2022;22:20:00;22-2-2022 22:20;36
22-2-2022;22:30:00;22-2-2022 22:30;34
22-2-2022;22:40:00;22-2-2022 22:40;32
22-2-2022;22:50:00;22-2-2022 22:50;29
22-2-2022;23:00:00;22-2-2022 23:00;29
22-2-2022;23:10:00;22-2-2022 23:10;27
22-2-2022;23:20:00;22-2-2022 23:20;24
22-2-2022;23:30:00;22-2-2022 23:30;23
22-2-2022;23:40:00;22-2-2022 23:40;22
22-2-2022;23:50:00;22-2-2022 23:50;16
