WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);;NUMERIEKEWAARDE
16-2-2022;17:20:00;16-2-2022 17:20;92
16-2-2022;17:30:00;16-2-2022 17:30;88
16-2-2022;17:40:00;16-2-2022 17:40;82
16-2-2022;17:50:00;16-2-2022 17:50;76
16-2-2022;18:00:00;16-2-2022 18:00;69
16-2-2022;18:10:00;16-2-2022 18:10;64
16-2-2022;18:20:00;16-2-2022 18:20;55
16-2-2022;18:30:00;16-2-2022 18:30;45
16-2-2022;18:40:00;16-2-2022 18:40;36
16-2-2022;18:50:00;16-2-2022 18:50;29
16-2-2022;19:00:00;16-2-2022 19:00;23
16-2-2022;19:10:00;16-2-2022 19:10;19
16-2-2022;19:20:00;16-2-2022 19:20;16
16-2-2022;19:30:00;16-2-2022 19:30;15
16-2-2022;19:40:00;16-2-2022 19:40;16
16-2-2022;19:50:00;16-2-2022 19:50;14
16-2-2022;20:00:00;16-2-2022 20:00;15
16-2-2022;20:10:00;16-2-2022 20:10;18
16-2-2022;20:20:00;16-2-2022 20:20;19
16-2-2022;20:30:00;16-2-2022 20:30;20
16-2-2022;20:40:00;16-2-2022 20:40;20
16-2-2022;20:50:00;16-2-2022 20:50;18
16-2-2022;21:00:00;16-2-2022 21:00;19
16-2-2022;21:10:00;16-2-2022 21:10;18
16-2-2022;21:20:00;16-2-2022 21:20;17
16-2-2022;21:30:00;16-2-2022 21:30;16
16-2-2022;21:40:00;16-2-2022 21:40;13
16-2-2022;21:50:00;16-2-2022 21:50;12
16-2-2022;22:00:00;16-2-2022 22:00;11
16-2-2022;22:10:00;16-2-2022 22:10;11
16-2-2022;22:20:00;16-2-2022 22:20;11
16-2-2022;22:30:00;16-2-2022 22:30;9
16-2-2022;22:40:00;16-2-2022 22:40;12
16-2-2022;22:50:00;16-2-2022 22:50;9
16-2-2022;23:00:00;16-2-2022 23:00;7
16-2-2022;23:10:00;16-2-2022 23:10;3
16-2-2022;23:20:00;16-2-2022 23:20;2
16-2-2022;23:30:00;16-2-2022 23:30;4
