;date_time;tide_peak;month;year;probability;
0;2017-01-01 04:00:00;109.531351678711;1;2017;0.004421430557238759;
1;2017-01-01 16:00:00;126.259113241746;1;2017;0.004421430557238759;
2;2017-01-02 04:00:00;107.528344745577;1;2017;0.004421430557238759;
3;2017-01-02 17:00:00;126.977934469406;1;2017;0.004421430557238759;
4;2017-01-03 05:00:00;111.844764271406;1;2017;0.004421430557238759;
5;2017-01-03 18:00:00;121.950707413885;1;2017;0.004421430557238759;
6;2017-01-04 06:00:00;109.55435670575;1;2017;0.004421430557238759;
7;2017-01-04 18:00:00;122.605680488801;1;2017;0.004421430557238759;
8;2017-01-05 07:00:00;103.409184610356;1;2017;0.004421430557238759;
9;2017-01-05 19:00:00;121.909799695892;1;2017;0.004421430557238759;
10;2017-01-06 08:00:00;96.521403439877;1;2017;0.004421430557238759;
11;2017-01-06 20:00:00;117.990316103013;1;2017;0.004421430557238759;
12;2017-01-07 09:00:00;91.6022926946517;1;2017;0.004421430557238759;
13;2017-01-07 21:00:00;112.676007580069;1;2017;0.004421430557238759;
14;2017-01-08 10:00:00;90.4973060620779;1;2017;0.004421430557238759;
15;2017-01-08 22:00:00;107.549327754172;1;2017;0.004421430557238759;
16;2017-01-09 11:00:00;93.8191213854729;1;2017;0.004421430557238759;
17;2017-01-10 00:00:00;104.560116306518;1;2017;0.004421430557238759;
18;2017-01-10 12:00:00;100.727708853192;1;2017;0.004421430557238759;
19;2017-01-11 01:00:00;104.276441983518;1;2017;0.004421430557238759;
20;2017-01-11 13:00:00;109.131516581933;1;2017;0.004421430557238759;
21;2017-01-12 01:00:00;105.161491584859;1;2017;0.004421430557238759;
22;2017-01-12 14:00:00;116.407400739627;1;2017;0.004421430557238759;
23;2017-01-13 02:00:00;108.433139274391;1;2017;0.004421430557238759;
24;2017-01-13 15:00:00;120.31831708239;1;2017;0.004421430557238759;
25;2017-01-14 03:00:00;110.953064849119;1;2017;0.004421430557238759;
26;2017-01-14 15:00:00;125.772128587273;1;2017;0.004421430557238759;
27;2017-01-15 04:00:00;110.499797682529;1;2017;0.004421430557238759;
28;2017-01-15 16:00:00;129.60521923873;1;2017;0.004421430557238759;
29;2017-01-16 04:00:00;108.925294100741;1;2017;0.004421430557238759;
30;2017-01-16 17:00:00;126.74612621084;1;2017;0.004421430557238759;
31;2017-01-17 05:00:00;111.339384628115;1;2017;0.004421430557238759;
32;2017-01-17 18:00:00;117.881509066909;1;2017;0.004421430557238759;
33;2017-01-18 06:00:00;106.302183787171;1;2017;0.004421430557238759;
34;2017-01-18 18:00:00;112.234190568708;1;2017;0.004421430557238759;
35;2017-01-19 07:00:00;95.6564849739025;1;2017;0.004421430557238759;
36;2017-01-19 19:00:00;102.905615020129;1;2017;0.004421430557238759;
37;2017-01-20 07:00:00;84.8549230483143;1;2017;0.004421430557238759;
38;2017-01-20 20:00:00;90.9076285355848;1;2017;0.004421430557238759;
39;2017-01-21 08:00:00;76.4954936491621;1;2017;0.004421430557238759;
40;2017-01-21 21:00:00;80.5103103863068;1;2017;0.004421430557238759;
41;2017-01-22 09:00:00;68.4117784539102;1;2017;0.004421430557238759;
42;2017-01-22 22:00:00;74.8735616944674;1;2017;0.004421430557238759;
43;2017-01-23 10:00:00;64.5403972560323;1;2017;0.004421430557238759;
44;2017-01-23 23:00:00;75.1603562284474;1;2017;0.004421430557238759;
45;2017-01-24 12:00:00;68.5397339786485;1;2017;0.004421430557238759;
46;2017-01-25 00:00:00;80.2771119290505;1;2017;0.004421430557238759;
47;2017-01-25 13:00:00;76.417394809102;1;2017;0.004421430557238759;
48;2017-01-26 01:00:00;87.31586622828;1;2017;0.004421430557238759;
49;2017-01-26 13:00:00;88.1103349327989;1;2017;0.004421430557238759;
50;2017-01-27 02:00:00;92.5465547376229;1;2017;0.004421430557238759;
51;2017-01-27 14:00:00;99.2143431146091;1;2017;0.004421430557238759;
52;2017-01-28 02:00:00;99.306303573294;1;2017;0.004421430557238759;
53;2017-01-28 15:00:00;104.915487885136;1;2017;0.004421430557238759;
54;2017-01-29 03:00:00;106.891805597076;1;2017;0.004421430557238759;
55;2017-01-29 15:00:00;118.638695183218;1;2017;0.004421430557238759;
56;2017-01-30 03:00:00;107.899262646872;1;2017;0.004421430557238759;
57;2017-01-30 16:00:00;125.087835422682;1;2017;0.004421430557238759;
58;2017-01-31 04:00:00;121.074776514279;1;2017;0.004421430557238759;
59;2017-01-31 16:00:00;122.595684406039;1;2017;0.004421430557238759;
60;2017-02-01 05:00:00;124.023482034413;2;2017;0.0022738790631631318;
61;2017-02-01 17:00:00;132.233291692086;2;2017;0.0022738790631631318;
62;2017-02-02 06:00:00;117.453670932345;2;2017;0.0022738790631631318;
63;2017-02-02 18:00:00;131.317071338763;2;2017;0.0022738790631631318;
64;2017-02-03 06:00:00;115.564538443266;2;2017;0.0022738790631631318;
65;2017-02-03 19:00:00;122.556350295256;2;2017;0.0022738790631631318;
66;2017-02-04 07:00:00;109.115239527585;2;2017;0.0022738790631631318;
67;2017-02-04 20:00:00;109.740124677668;2;2017;0.0022738790631631318;
68;2017-02-05 08:00:00;98.5767608450738;2;2017;0.0022738790631631318;
69;2017-02-05 21:00:00;96.5869894136346;2;2017;0.0022738790631631318;
70;2017-02-06 09:00:00;88.5513308321407;2;2017;0.0022738790631631318;
71;2017-02-06 22:00:00;86.2048039788076;2;2017;0.0022738790631631318;
72;2017-02-07 10:00:00;82.4790839429525;2;2017;0.0022738790631631318;
73;2017-02-07 23:00:00;80.8831236419194;2;2017;0.0022738790631631318;
