"hx","slr0","slr25","slr50"
300,1,1,1
301,0.958646965806243,0.957188334534638,0.955623060094283
302,0.919057958647678,0.916267243282149,0.913277362128808
303,0.881155433854165,0.877150695580885,0.872867104799876
304,0.84486535615548,0.839756690964705,0.834301138079685
305,0.810117036316769,0.804007064975046,0.797492730956701
306,0.776842975589522,0.769827304588548,0.762359351094188
307,0.744978717594137,0.737146372771278,0.72882245577891
308,0.71446270726945,0.705896541696217,0.696807293566045
309,0.685236156543014,0.676013234184686,0.666242716058288
310,0.657242916393207,0.647434872955317,0.63706099928758
311,0.630429354990947,0.620102737285811,0.609197674196364
312,0.604744241624226,0.593960826713145,0.582591365742396
313,0.580138636123749,0.56895573141737,0.557183640176656
314,0.556565783521868,0.545036508952445,0.532918860068064
315,0.533981013690543,0.522154567004942,0.509744046671464
316,0.512341645716551,0.500263551877951,0.487608749257016
317,0.491606896784433,0.4793192424131,0.466464921039389
318,0.471737795348895,0.459279449078341,0.446266801364498
319,0.452697098389283,0.440103917963222,0.426970803829735
320,0.434449212549131,0.421754239436548,0.408535410030786
321,0.416960118973343,0.404193761233915,0.390921068644552
322,0.400197301665078,0.387387505754519,0.374090099572943
323,0.384129679192992,0.371302091357898,0.358006602886957
324,0.368727539587988,0.355905657461921,0.342636372324202
325,0.353962478276497,0.341167793253536,0.327946813106053
326,0.339807338904812,0.327059469833314,0.313906863852925
327,0.326236156916224,0.313552975623928,0.300486922387849
328,0.313224105749426,0.300621854881388,0.287658775229508
329,0.300747445533133,0.288240849155928,0.275395530586359
330,0.288783474157991,0.276385841557287,0.263671554673317
331,0.277310480612637,0.265033803686388,0.252462411181837
332,0.266307700476319,0.254162745102441,0.241744803743027
333,0.255755273465717,0.243751665201066,0.231496521231858
334,0.24563420293864,0.233780507385315,0.221696385768383
335,0.235926317261895,0.224230115417389,0.212324203279418
336,0.226614232955266,0.215082191844512,0.203360716491222
337,0.217681319527708,0.206319258397721,0.194787560230412
338,0.209111665925982,0.197924618267456,0.18658721891675
339,0.200890048519785,0.189882320164581,0.178742986137403
340,0.193001900551143,0.182177124080089,0.171238926198041
341,0.185433282979229,0.174794468661001,0.164059837551489
342,0.178170856655236,0.167720440124164,0.157191218009784
343,0.17120185576491,0.160941742633471,0.150619231650346
344,0.164514062479487,0.154445670069751,0.144330677331526
345,0.158095782758542,0.148220079126124,0.138312958737183
346,0.151935823251005,0.142253363664867,0.132554055874011
347,0.146023469243153,0.136534430275094,0.127042497949297
348,0.140348463604835,0.131052674973462,0.121767337560435
349,0.134900986687544,0.12579796099304,0.116718126131051
350,0.129671637130142,0.120760597608145,0.111884890531922
351,0.124651413530109,0.115931319945511,0.107258110827991
352,0.119831696940292,0.111301269734623,0.102828699095787
353,0.115204234152923,0.106861976952344,0.0985879792583814
354,0.110761121734578,0.102605342319177,0.0945276678876691
355,0.106494790777402,0.0985236206065714,0.0906398559263467
356,0.102397992333606,0.0946094047166911,0.0869169912843261
357,0.0984637835018171,0.0908556104979295,0.0833518622666316
358,0.0946855141352739,0.0872554622612534,0.079937581791983
359,0.091056814143378,0.0838024789641671,0.07666757236333
360,0.0875715813593577,0.0804904610306745,0.0735355517535351
361,0.0842239699481396,0.077313477777191,0.0705355193712722
362,0.0810083793297433,0.0742658554157861,0.0676617432739367
363,0.0779194435946039,0.0713421656075378,0.0649087477960441
364,0.0749520213884568,0.0685372145400909,0.0622713017631575
365,0.0721011862453206,0.0658460325047719,0.0597444072628911
366,0.0693622173482317,0.0632638639497822,0.057323288945941
367,0.0667305906982948,0.0607861579871591,0.0550033838314641
368,0.0642019706734841,0.0584085593322246,0.0527803315923813
369,0.0617722019595772,0.0561268996553009,0.0506499652974035
370,0.0594373018363135,0.0539371893264222,0.0486083025877392
371,0.0571934528027762,0.0518356095347049,0.0466515372675096
372,0.055036995526641,0.0498185047649121,0.0447760312879677
373,0.0529644221026861,0.0478823756145857,0.0429783071065701
374,0.0509723696066473,0.0460238719359142,0.0412550404029068
375,0.0490576139311256,0.0442397862872639,0.0396030531343736
376,0.0472170638908491,0.0425270476800015,0.0380193069153085
377,0.0454477555852504,0.040882715606946,0.0365008967041266
378,0.0437468470067612,0.0393039743394162,0.0350450447837336
379,0.0421116128838797,0.0377881274804724,0.0336490950212297
380,0.0405394397484817,0.0363325927625233,0.0323105073935949
381,0.0390278212173718,0.0349348970780488,0.0310268527666996
382,0.0375743534785036,0.0335926717327089,0.0297958079156008
383,0.0361767309727739,0.0323036479106079,0.0286151507746735
384,0.0348327422626669,0.0310656523419937,0.0274827559066856
385,0.0335402660794715,0.0298766031640946,0.0263965901804466
386,0.0322972675410966,0.0287345059662589,0.0253547086471754
387,0.0311017945329817,0.0276374500109738,0.0243552506062019
388,0.02995197424484,0.0265836046227144,0.0233964358510762
389,0.0288460098563432,0.0255712157369916,0.0224765610875887
390,0.0277821773651981,0.0245986026022782,0.0215939965156174
391,0.0267588225512938,0.0236641546278683,0.0207471825671059
392,0.0257743580709642,0.0227663283710422,0.0199346267928499
393,0.0248272606756059,0.0219036446572008,0.0191549008911188
394,0.0239160685491906,0.0210746858269607,0.0184066378714791
395,0.0230393787594767,0.0202780931044394,0.017688529347498
396,0.0221958448179078,0.0195125640812734,0.0169993229523162
397,0.0213841743434411,0.0187768503111289,0.0163378198713616
398,0.020603126825768,0.0180697550097223,0.0157028724867504
399,0.0198515114835922,0.0173901308556035,0.0150933821281841
400,0.0191281852137772,0.016736877887166,0.014508296925401
401,0.0184320506274573,0.0161089414915523,0.0139466097574656
402,0.0177620541692829,0.015505310481346,0.013407356294419
403,0.0171171843162057,0.0149250152550968,0.0128896131270136
404,0.0164964698523453,0.0143671260379404,0.0123924959804662
405,0.0158989782166297,0.0138307511987242,0.0119151580083495
406,0.0153238139200682,0.0133150356402243,0.0114567881629341
407,0.0147701170296273,0.0128191592591894,0.0110166096384596
408,0.0142370617158591,0.0123423354731081,0.0105938783839838
409,0.0137238548614909,0.0118838098107232,0.0101878816826174
410,0.0132297347283739,0.0114428585634697,0.00979793679409902
411,0.0127539696802763,0.011018787495115,0.00942338965781142
412,0.012295856959105,0.0106109306070422,0.00906361365347674
413,0.0118547215122702,0.0102186489566988,0.00871800841689052
414,0.0114299148689987,0.00984132952685834,0.00838599870819379
415,0.0110208140634833,0.00947838414346303,0.00806703333027936
416,0.0106268206028819,0.00912924843988783,0.00776058409505831
417,0.0102473594782477,0.00879338086559733,0.00746614483540919
418,0.00988187821652575,0.00847026173722676,0.00718323046073643
419,0.00952984597189954,0.00815939233022767,0.00691137605416303
420,0.00919075265480895,0.0078602940093031,0.00665013600946873
421,0.00886410809700422,0.00757250739592352,0.00639908320598126
422,0.00854944125112467,0.00729559157130066,0.00615780821970413
423,0.00824629942336097,0.00702912331326999,0.00592591856904556
424,0.00795424753773544,0.0067726963656044,0.0057030379935924
425,0.00767286743072537,0.00652592073832936,0.00548880576444133
426,0.00740175717490077,0.00628842203770708,0.00528287602466637
427,0.00714053043037466,0.006059840824584,0.00508491715857728
428,0.00688881582287904,0.00583983199987392,0.00489461118846823
429,0.00664625634735261,0.00562806421599815,0.00471165319763556
430,0.00641250879595345,0.00542421931315362,0.00453575077848434
