"exp","slr","fr","two.days","week","month","month.plus"
"slr0",0,0.0999999999999999,0.00287610619469027,0.00309734513274336,0.0170353982300885,0.976991150442478
"slr25",25,0.29311090313172,0.0135909491625037,0.0116808698207464,0.0400382015868351,0.934689979429915
"slr50",50,0.893775732581773,0.0369769385848454,0.033952893740473,0.113659831833604,0.815410335841078
