"hx","exp1","exp2","exp3","exp4","exp5","exp6","exp7","exp8","exp9","exp10","exp11","exp12"
300,0.997125404240029,0.996160307175426,0.99203998519067,0.943847939640163,0.998953290592699,0.99778545486757,0.995618915159944,0.957150087161896,0.998623504841466,0.997708374255222,0.995058048321305,0.964602346805737
301,0.972691340280273,0.972402207823374,0.968900407256572,0.923969820081254,0.973570587465655,0.972716803968465,0.972322670375522,0.936456166001237,0.973514334535789,0.971943953381785,0.970609768852631,0.942633637548892
302,0.947897951850521,0.948644108471322,0.945020362828582,0.903946604759141,0.949496271097736,0.947470989458765,0.946940194714882,0.91345667210257,0.948689956331878,0.946343220061546,0.946501411986194,0.921121251629726
303,0.924182536830758,0.922246220302376,0.91965938541281,0.881892048752176,0.925421954729818,0.92461688369209,0.924756606397775,0.894281054940111,0.924814885133852,0.921168074379624,0.9218178014852,0.899000434593655
304,0.903701042040963,0.90280777537797,0.902258422806368,0.866366802089379,0.903048541148764,0.901762777925414,0.902086230876217,0.873249732890963,0.899373457376115,0.895665553591305,0.897343374124046,0.877640156453716
305,0.8799856270212,0.878569714422846,0.878563495001851,0.845908299477655,0.878058354049457,0.877491363273984,0.878998609179416,0.852218410841815,0.87583064363015,0.871996333398808,0.874647003451522,0.857105606258149
306,0.860941430111391,0.85913126949844,0.858200666419844,0.827916424840395,0.857385843255266,0.855345911949686,0.857301808066759,0.832424225383793,0.853759255743307,0.849080075951025,0.852525886413555,0.837092568448501
307,0.834351419331656,0.833933285337173,0.834505738615328,0.806006964596634,0.834489074970561,0.833200460625388,0.835465924895688,0.812517572962942,0.831545471805582,0.825345380737249,0.829646480493672,0.816036505867014
308,0.815666546891843,0.814254859611231,0.815994076268049,0.789030760301799,0.814601596231846,0.811409336522278,0.815020862308762,0.794297924984536,0.808762103664325,0.80193806062987,0.806976257713628,0.795501955671447
309,0.792310456342077,0.790736741060715,0.793594964827842,0.769878119558909,0.796022504252257,0.791389848525113,0.794367176634214,0.775515942191981,0.786121131573951,0.779152753224645,0.78509047170798,0.775510647544546
310,0.766798418972332,0.765298776097912,0.770455386893743,0.749274521183981,0.775611670809891,0.771370360527948,0.774547983310153,0.757296294213575,0.7649515853427,0.757578733713088,0.76362305198201,0.755671447196871
311,0.745598275242544,0.74682025437965,0.752499074416883,0.731717933836332,0.75441580531205,0.750819381698999,0.753894297635605,0.73840184445819,0.744256692614391,0.736299351797289,0.743123104277795,0.736766623207301
312,0.724757455982752,0.723302135829134,0.731395779340985,0.713435867672664,0.733219939814209,0.728319603153512,0.731502086230876,0.718495192037339,0.723799126637555,0.714528907221895,0.721995607154063,0.717101260321599
313,0.701401365432986,0.702663786897048,0.710292484265087,0.69297736506094,0.712939945047756,0.707325715298078,0.710500695410292,0.699488275319125,0.703578887412189,0.693478687880574,0.701417215772409,0.698348544111256
314,0.685591088753144,0.684905207583393,0.692336171788227,0.677307022634939,0.696454271882769,0.688900699796262,0.692837273991655,0.683124332227408,0.683595974938295,0.673639756432921,0.68167555695011,0.67942199043894
315,0.66798418972332,0.664026877849772,0.672528693076638,0.659170052234475,0.676305115792228,0.667995393746124,0.673574408901252,0.665804419951639,0.663423201063224,0.652851437176717,0.661306348708294,0.66051716644937
316,0.6500179662235,0.644108471322294,0.65272121436505,0.640452698781196,0.660211958654978,0.650101869076092,0.655493741307371,0.64848450767587,0.644484526295804,0.632586918090748,0.641146323606317,0.641786179921773
317,0.631692418253683,0.625869930405567,0.635135135135135,0.624492164828787,0.640978673295826,0.630259544689521,0.635813630041725,0.62998369229039,0.626590089234859,0.613795586983566,0.622189101558414,0.624141677531508
318,0.615522817103845,0.608351331893449,0.619770455386894,0.610853163087638,0.6230537746958,0.610062893081761,0.616133518776078,0.612045211719058,0.608695652173913,0.594840568323185,0.603336471080431,0.606584093872229
319,0.602587136183974,0.592992560595152,0.604590892262125,0.596923969820081,0.604998037419861,0.591194968553459,0.597844228094576,0.595175167294607,0.589851908107082,0.57526353696065,0.583620960150612,0.588331160365059
320,0.585339561624147,0.57451403887689,0.586079229914846,0.579947765525247,0.588904880282612,0.574098680131101,0.580041724617524,0.579261092054209,0.573049174102905,0.557683493747136,0.565683505909424,0.571360278139939
321,0.568091987064319,0.557955363570914,0.570714550166605,0.564567614625653,0.574905141959963,0.558774027814687,0.563004172461752,0.563065849406737,0.556626162901082,0.540529038171937,0.548399748980232,0.554997827031725
322,0.554078332734459,0.544036477081833,0.557015920029619,0.551363900174115,0.559989532905927,0.541500575781734,0.545897079276773,0.547208007647753,0.541579646857794,0.524553132979768,0.531142139943521,0.538613646240765
323,0.541501976284585,0.529157667386609,0.542761940022214,0.53786999419617,0.545597278555541,0.525644432633537,0.52990264255911,0.531687566777259,0.525488893108031,0.507791527532246,0.514433636648886,0.52257714037375
324,0.525691699604743,0.509959203263739,0.522769344687153,0.519587928032502,0.530550830825592,0.508282398795287,0.512656467315716,0.515042456278468,0.510062654262389,0.491291822169842,0.49801276017153,0.506931768796176
325,0.508803449514912,0.493160547156227,0.50462791558682,0.501596053395241,0.513934318984692,0.492780582868279,0.49749652294854,0.500534218073441,0.494968672868806,0.475054016892555,0.481095073737057,0.491221208170361
326,0.490837226015092,0.472762179025678,0.485005553498704,0.48360417875798,0.498364516551092,0.476747276109487,0.481710709318498,0.485744812461339,0.479827226124929,0.458488836508872,0.464281978872503,0.475336810082573
327,0.478260869565217,0.458363330933525,0.470196223620881,0.46952988972722,0.48567316498757,0.462308441846045,0.46759388038943,0.47191137603329,0.465967343838998,0.443986119295489,0.448907018094342,0.459800086918731
328,0.464606539705354,0.444204463642909,0.454091077378749,0.455020313406849,0.471673426664922,0.446452298697847,0.451182197496523,0.456278468199966,0.452487184355421,0.429286977018268,0.434159606735697,0.445523685354194
329,0.455623427955444,0.431005519558435,0.441688263606072,0.44297736506094,0.460290461860526,0.433962264150943,0.438317107093185,0.443907102288703,0.440146193278906,0.416126497741112,0.420170484258969,0.431138635375924
330,0.441250449155588,0.417086633069354,0.429470566456868,0.431514799767847,0.446552400889703,0.41987775710869,0.423991655076495,0.429736264972164,0.425716726789444,0.401656518038368,0.405606108147683,0.416688396349413
331,0.431189363995688,0.405087592992561,0.415771936319882,0.419326755658735,0.434253565353919,0.40756488617238,0.411404728789986,0.416746330765338,0.413992785266755,0.388888888888889,0.391956908273193,0.403411560191221
332,0.416816385195832,0.390448764098872,0.401147723065531,0.405977945443993,0.420646343059008,0.394189033572504,0.39798331015299,0.403531462632852,0.40174672489083,0.376121259739409,0.379275180420458,0.390569317687962
333,0.410348544735897,0.38300935925126,0.391521658644946,0.395966337782937,0.411225958393301,0.382939144299761,0.386509040333797,0.391778665017151,0.391826466679324,0.365285143717672,0.3672732977722,0.378639721860061
334,0.397053539346029,0.371730261579074,0.379489078119215,0.384648868253047,0.398403768153866,0.370183364336965,0.373087621696801,0.378901197773154,0.381526485665464,0.354514502717213,0.355611337726179,0.3664493698392
335,0.385555156306144,0.360691144708423,0.368937430581266,0.374927452118398,0.385712416590344,0.356187439100009,0.359179415855355,0.365461395715009,0.370704385798367,0.342990898972042,0.343949377680159,0.35445458496306
336,0.377650017966224,0.35157187425006,0.358200666419844,0.36404526987812,0.373675258406385,0.343608822747808,0.347287899860918,0.353483664173649,0.360262008733624,0.331925620375827,0.332444304989018,0.342785745328118
337,0.365792310456342,0.33933285337173,0.346353202517586,0.352437608821822,0.362292293601989,0.331738860837984,0.334144645340751,0.341056064780971,0.350531611923296,0.321547829503045,0.320886936512917,0.33116036505867
338,0.357527847646425,0.328773698104152,0.335616438356164,0.34141033081834,0.351432683501243,0.320223226149349,0.322392211404729,0.328572231906877,0.341133472565028,0.311595626268579,0.309695638531534,0.319578444154715
339,0.346748113546533,0.320614350851932,0.324879674194743,0.330528148578062,0.341488944131885,0.30977057312428,0.310987482614743,0.317156835179666,0.331782798557053,0.302167223204348,0.299654847819266,0.309213385484572
340,0.337405677326626,0.311015118790497,0.314328026656794,0.319791062100987,0.331414366086615,0.298786429267428,0.299652294853964,0.305797671933869,0.323096639453199,0.292706082629477,0.28898650768748,0.298956975228162
