"hx","exp1","exp2","exp3","exp4","exp5","exp6","exp7","exp8","exp9","exp10","exp11","exp12"
300,1,1,1,1,1,1,1,1,1,1,1,1
301,0.964885897966089,0.962998215348007,0.961092577147623,0.958514895509115,0.963329171868498,0.961048397100781,0.958809854137763,0.956002803644738,0.964813642625759,0.962205645516678,0.959729824351672,0.956884014890289
302,0.932741832399714,0.92916914534999,0.925562969140951,0.920675855935972,0.927856845609655,0.92340817664676,0.919025835239416,0.913587663963152,0.931444316193171,0.926398359066399,0.921620029203562,0.916118646703191
303,0.898830783112147,0.893595082292286,0.888240200166806,0.880969319697643,0.89498127340824,0.888567934927077,0.882279050583074,0.874356663662762,0.897859031165059,0.89051094890511,0.88347607784201,0.875280107561304
304,0.867664197902177,0.860797144556811,0.853753127606339,0.844197421076034,0.863537245110279,0.855322617802903,0.847163373204845,0.836847902272955,0.866023755445508,0.85649843358145,0.847432733607152,0.836691575279193
305,0.838189405616752,0.83014078921277,0.821601334445371,0.809959982214318,0.832476071577195,0.822502613904198,0.812591398252653,0.800060078101532,0.835804445768329,0.824312738868813,0.813302137325056,0.800151829731188
306,0.808902590322945,0.799603410668253,0.789699749791493,0.776078257003113,0.802313774448606,0.790692728915983,0.779050583073981,0.764293581656153,0.806568120043192,0.793256788481415,0.7804182428336,0.764956600477441
307,0.782134666716794,0.772000793178663,0.760758965804837,0.745264562027568,0.77391593841032,0.760796753442379,0.747703325958979,0.73091018323821,0.777808392597833,0.762905926750903,0.748311402197952,0.730621129942469
308,0.756043460280462,0.74495340075352,0.732443703085905,0.71520675855936,0.747282563462339,0.732903294405359,0.718399640031497,0.69974967457695,0.750106117585732,0.733700834087832,0.71753665388655,0.697721639395242
309,0.727433362156472,0.715129883006147,0.701292743953294,0.682036460649177,0.719750312109863,0.704230094454979,0.688439761520867,0.667848202663462,0.723193208474513,0.705304990905959,0.687564576591039,0.665755078521581
310,0.701304560321817,0.688122149514178,0.673185988323603,0.652289906625167,0.693333333333333,0.676584734799483,0.659529791143275,0.637108240712927,0.696995196782962,0.677910694111708,0.65872819339248,0.634940960185854
311,0.676303620436859,0.662383501883799,0.64628857381151,0.623699421965318,0.669612983770287,0.652040617413032,0.633882035321909,0.609852808651247,0.672636556577429,0.652503465350501,0.6320607297475,0.606486605142089
312,0.65152825294184,0.637279397184216,0.62022518765638,0.596176078257003,0.645609654598419,0.627301564798242,0.608178034421988,0.582537298488034,0.648344938004989,0.627448780917737,0.605751906343663,0.578434690349666
313,0.627392007218317,0.611976997818759,0.594161801501251,0.568519341929747,0.623054515189347,0.604157436778961,0.583955153924032,0.55686392310003,0.625028856536471,0.603211358337273,0.580237214902356,0.551224241537322
314,0.603443738486409,0.587705730715844,0.568932443703086,0.541929746554024,0.601747815230961,0.582360133973666,0.561325883985151,0.532812656453389,0.603522359161485,0.580969016160953,0.556959755441512,0.526538190665215
315,0.582239933832099,0.566091612135634,0.546538782318599,0.51827478879502,0.581023720349563,0.561129915468996,0.539277813191346,0.509482327025133,0.581576497747328,0.558358104913987,0.533434663433212,0.501486285019162
316,0.562201586525809,0.545746579417014,0.525646371976647,0.496176078257003,0.56046608406159,0.540076910808272,0.517510967790318,0.486392310003004,0.560889153665711,0.537349667887218,0.511583225883579,0.478245360504148
317,0.542539193202752,0.525758477096966,0.505170975813178,0.474522009782125,0.540923845193508,0.520193517517588,0.497056507555589,0.464864323620707,0.540708195256358,0.516894084466416,0.490363678282626,0.455708706428983
318,0.525132523779089,0.508467182232798,0.487197664720601,0.455580257892397,0.521831044527674,0.500753158836768,0.477033259589786,0.443756883949134,0.521614476672748,0.497536195886449,0.470279824778625,0.434516568648075
319,0.507312304973871,0.49050168550466,0.468473728106756,0.435793686082703,0.504019975031211,0.482482411525988,0.458322396790281,0.424031240612797,0.502870759950851,0.478618987717035,0.450853478383386,0.413909798505483
320,0.489642467761946,0.472932778108269,0.45045871559633,0.416807469986661,0.485975863503953,0.464353435290365,0.439855262664517,0.404565935716431,0.484856834344863,0.460567115626527,0.432263959217481,0.394272543513852
321,0.471483890371818,0.454531033115209,0.431693077564637,0.397243219208537,0.46923012900541,0.447411791809176,0.422513030109865,0.386282166816862,0.467907808020255,0.443701074458965,0.414929680895576,0.376007243924524
322,0.454941915109591,0.438032916914535,0.414929107589658,0.379724321920854,0.452600915522264,0.431179003703769,0.405976977014511,0.368879543406428,0.450839632125703,0.426682798240483,0.397621019733752,0.35778767618194
323,0.438663107635625,0.421733095379734,0.398331943286072,0.362338817252112,0.437103620474407,0.415761399280512,0.390490832052195,0.352618403925103,0.435000186171203,0.410858365316048,0.381490747935684,0.340812014670776
324,0.422760254144893,0.405948839976205,0.38256880733945,0.346020453534904,0.422155638784852,0.401034928848642,0.375717124751584,0.337078201662161,0.419652232192724,0.395594798368681,0.365915514606051,0.324494891752719
325,0.408474002782059,0.391830259766012,0.368515429524604,0.331658514895509,0.407973366625052,0.386981871023764,0.361487119877011,0.322218884549915,0.405384071191868,0.381533087086461,0.35178338129435,0.309760090731984
326,0.393247866461145,0.376878841959151,0.353461217681401,0.315873721654068,0.394257178526842,0.373478176115118,0.348025797742697,0.308160608791429,0.391048888557918,0.36762361085516,0.337924497690186,0.295208217098223
327,0.37997669085304,0.363751735078326,0.340075062552127,0.301911960871498,0.38140657511444,0.360913714579383,0.335370655067682,0.295143686792831,0.37687008973452,0.35364202328395,0.323920450178893,0.280747807157949
328,0.366968683033197,0.350822922863375,0.327105921601334,0.288661627389951,0.368039950062422,0.347870775664995,0.322490532078443,0.281746270151197,0.36399448933239,0.341102662510917,0.31147904943258,0.267915450961741
